表名（英文）,表名（中文）,优先级,所需前置表（英文）,所需前置表（中文）,游标定义,游标对应表字段,更新频率,拉取方式,拉取接口名称,拉取接口关键参数,实际开发参数,Tushare接口地址,说明
trade_calendar,交易日历,P0基础,无,无,按年记录,start_date（游标示例：2025）,按年拉取,全量拉取,trade_cal,"exchange=SSE/SZSE, start_date={游标年+1}0101","exchange=SSE/SZSE, start_date={游标年+1}0101, end_date={当前年}1231",https://tushare.pro/document/2?doc_id=26,各交易所交易日历，包括开市日期、节假日等（主键：exchange+cal_date组合）
stock_basic,股票列表,P0基础,无,无,无游标,无游标，全量拉取,按月更新,全量拉取/更新,stock_basic,无参数,无参数，调用接口拉取全部股票列表,https://tushare.pro/document/2?doc_id=25,上市公司基础信息，包括代码、名称、行业、上市日期等
index_basic,指数列表,P0基础,无,无,无游标,无游标，全量拉取,按月更新,全量拉取/更新,index_basic,market=SSE/SZSE,"market=SSE, market=SZSE（分两次拉取上交所和深交所指数）",https://tushare.pro/document/2?doc_id=94,指数基础信息，包括名称、类型、基准日期等
ths_index_basic,同花顺概念和行业指数,P0基础,无,无,无游标,无游标，全量拉取,按月更新,全量拉取/更新,ths_index,"exchange=A, type=N/S","exchange=A, type=N/S（拉取A股概念和特色指数）",https://tushare.pro/document/2?doc_id=259,同花顺概念和行业指数基础信息
etf_basic,ETF基本信息,P0基础,无,无,无游标,无游标，全量拉取,按月更新,全量拉取/更新,etf_basic,无参数,无参数，拉取全部ETF基础信息,https://tushare.pro/document/2?doc_id=385,ETF基础信息，包括代码、名称、跟踪指数等
etf_index,ETF基准指数,P0基础,etf_basic,ETF基本信息,无游标,无游标，全量拉取,按月更新,全量拉取/更新,etf_index,无参数,无参数，拉取ETF跟踪的指数信息,https://tushare.pro/document/2?doc_id=386,ETF跟踪的基准指数信息
stock_daily,日线行情,P1行情,"trade_calendar, stock_basic","交易日历, 股票列表",按天记录（交易日）,trade_date（游标示例：20260409）,交易日每日拉取,增量拉取,daily,"trade_date={游标+1}, adj=null","trade_date={游标+1到今天（需判断18点）}, adj=null",https://tushare.pro/document/2?doc_id=27,股票日线行情数据，包括开高低收、成交量、涨跌幅等
stock_daily_basic,每日指标,P1行情,stock_basic,股票列表,按天记录（交易日）,trade_date（游标示例：20260409）,交易日每日拉取,增量拉取,daily_basic,"trade_date={游标+1}, adj=null","trade_date={游标+1到今天（需判断18点）}, adj=null",https://tushare.pro/document/2?doc_id=32,每日估值指标，包括PE/PB/PS、市值、换手率等
stock_weekly,周线行情,P1行情,"trade_calendar, stock_basic","交易日历, 股票列表",按天记录（交易日）,start_date（游标示例：20260409）,交易日每日更新,增量拉取/更新,stk_week_month_adj,"start_date={游标+1}, end_date={计算周五}, freq=week","start_date={游标+1}, end_date={按游标+1计算出的周五日期}, freq=week",https://tushare.pro/document/2?doc_id=365,股票周线行情数据（每周交易日都会更新）
月线行情,stock_monthly,P1行情,"trade_calendar, stock_basic","交易日历, 股票列表",按天记录（交易日）,start_date（游标示例：20260409）,交易日每日更新,增量拉取/更新,stk_week_month_adj,"start_date={游标+1}, end_date={计算周五}, freq=month","start_date={游标+1}, end_date={按游标+1计算出的周五日期}, freq=month",https://tushare.pro/document/2?doc_id=365,股票月线行情数据（每月交易日都会更新）
fina_indicator,财务指标,P2财务,stock_basic,股票列表,按天记录（自然日）,ann_date（游标示例：20260409）,自然日每日拉取,增量拉取,fina_indicator_vip,ann_date={游标+1},ann_date={游标+1到今天}（不受交易日历限制）,https://tushare.pro/document/2?doc_id=79,上市公司财务指标数据，包括ROE、利润率、增长率等（VIP接口）
income,利润表,P2财务,stock_basic,股票列表,按天记录（自然日）,ann_date（游标示例：20260409）,自然日每日拉取,增量拉取,income_vip,"ann_date={游标+1}, report_type=1","ann_date={游标+1到今天}, report_type=1",https://tushare.pro/document/2?doc_id=33,上市公司利润表，包括营收、利润、EPS等（VIP接口）
balancesheet,资产负债表,P2财务,stock_basic,股票列表,按天记录（自然日）,ann_date（游标示例：20260409）,自然日每日拉取,增量拉取,balancesheet_vip,"ann_date={游标+1}, report_type=1","ann_date={游标+1到今天}, report_type=1",https://tushare.pro/document/2?doc_id=36,上市公司资产负债表，包括资产、负债、股东权益等（VIP接口）
cashflow,现金流量表,P2财务,stock_basic,股票列表,按天记录（自然日）,ann_date（游标示例：20260409）,自然日每日拉取,增量拉取,cashflow_vip,"ann_date={游标+1}, report_type=1","ann_date={游标+1到今天}, report_type=1",https://tushare.pro/document/2?doc_id=44,上市公司现金流量表，包括经营、投资、筹资现金流等（VIP接口）
express,业绩预告,P2财务,stock_basic,股票列表,按天记录（自然日）,ann_date（游标示例：20260409）,自然日每日拉取,增量拉取,forecast_vip,ann_date={游标+1},ann_date={游标+1到今天},https://tushare.pro/document/2?doc_id=45,上市公司业绩预告，包括预告类型、利润范围等（VIP接口）
express_brief,业绩快报,P2财务,stock_basic,股票列表,按天记录（自然日）,ann_date（游标示例：20260409）,自然日每日拉取,增量拉取,express_vip,ann_date={游标+1},ann_date={游标+1到今天},https://tushare.pro/document/2?doc_id=46,上市公司业绩快报，包括主要财务指标（VIP接口）
dividend,分红送股,P2财务,stock_basic,股票列表,按天记录（自然日）,ann_date（游标示例：20260409）,自然日每日拉取,增量拉取,dividend,ann_date={游标+1},ann_date={游标+1到今天},https://tushare.pro/document/2?doc_id=103,上市公司分红送股数据
ths_moneyflow,个股资金流向(THS),P3资金流向(THS),stock_daily,日线行情,按天记录（交易日）,trade_date（游标示例：20260409）,交易日每日拉取,增量拉取,moneyflow_ths,trade_date={游标+1},trade_date={游标+1到今天（需判断18点）},https://tushare.pro/document/2?doc_id=348,同花顺个股资金流向数据
ths_concept_moneyflow,同花顺概念板块资金流向,P3资金流向(THS),无,无,按天记录（交易日）,trade_date（游标示例：20260409）,交易日每日拉取,增量拉取,moneyflow_cnt_ths,trade_date={游标+1},trade_date={游标+1到今天（需判断18点）},https://tushare.pro/document/2?doc_id=371,同花顺概念板块资金流向数据
ths_industry_moneyflow,同花顺行业资金流向,P3资金流向(THS),无,无,按天记录（交易日）,trade_date（游标示例：20260409）,交易日每日拉取,增量拉取,moneyflow_ind_ths,trade_date={游标+1},trade_date={游标+1到今天（需判断18点）},https://tushare.pro/document/2?doc_id=343,同花顺行业资金流向数据
ths_concept_member,同花顺概念板块成分,P3概念板块,ths_index_basic,同花顺概念和行业指数,特殊游标,ts_code（游标示例：885472.TI）,按月更新,全量拉取/更新,ths_member,遍历ths_index_basic: ts_code={同花顺指数代码},遍历ths_index_basic: ts_code={同花顺指数代码},https://tushare.pro/document/2?doc_id=261,同花顺概念板块成分股
ths_index_daily,同花顺概念和行业指数日线,P3概念板块,"trade_calendar, ths_index_basic","交易日历, 同花顺概念和行业指数",按天记录（交易日）,trade_date（游标示例：20260409）,交易日每日拉取,增量拉取,ths_daily,trade_date={游标+1},trade_date={游标+1到今天（需判断18点）},https://tushare.pro/document/2?doc_id=260,同花顺概念和行业指数日线行情
hots_user,游资账户,P4游资,无,无,无游标,无游标，全量拉取,按月更新,全量拉取/更新,hots_user,无,无参数，拉取全部游资账户列表,https://tushare.pro/document/2?doc_id=272,游资账户信息列表
hots_trader_detail,游资交易,P4游资,无,无,按天记录（交易日）,trade_date（游标示例：20260409）,交易日每日拉取,增量拉取,hots_trader_detail,trade_date={游标+1},trade_date={游标+1到今天（需判断18点）},https://tushare.pro/document/2?doc_id=273,游资交易明细数据
index_daily,指数日线,P1行情,"trade_calendar, index_basic","交易日历, 指数列表",按天记录（交易日）,trade_date（游标示例：20260409）,交易日每日拉取,增量拉取,index_daily,trade_date={游标+1},trade_date={游标+1到今天（需判断18点）},https://tushare.pro/document/2?doc_id=95,指数日线行情数据
etf_daily,ETF日线行情,P1行情,"trade_calendar, etf_basic","交易日历, ETF基本信息",按天记录（交易日）,trade_date（游标示例：20260409）,交易日每日拉取,增量拉取,fund_daily,trade_date={游标+1},trade_date={游标+1到今天（需判断18点）},https://tushare.pro/document/2?doc_id=127,ETF日线行情数据
etf_adj_factor,ETF复权因子,P1行情,etf_daily,ETF日线行情,按天记录（交易日）,trade_date（游标示例：20260409）,交易日每日拉取,增量拉取,fund_adj,trade_date={游标+1},trade_date={游标+1到今天（需判断18点）},https://tushare.pro/document/2?doc_id=199,ETF复权因子数据
