名称	类型	默认显示	描述
ts_code	str	Y	股票代码
trade_date	str	Y	交易日期（每周五或者月末日期）
end_date	str	Y	计算截至日期
freq	str	Y	频率(周week,月month)
open	float	Y	(周/月)开盘价
high	float	Y	(周/月)最高价
low	float	Y	(周/月)最低价
close	float	Y	(周/月)收盘价
pre_close	float	Y	上一(周/月)收盘价【除权价，前复权】
open_qfq	float	Y	前复权(周/月)开盘价
high_qfq	float	Y	前复权(周/月)最高价
low_qfq	float	Y	前复权(周/月)最低价
close_qfq	float	Y	前复权(周/月)收盘价
open_hfq	float	Y	后复权(周/月)开盘价
high_hfq	float	Y	后复权(周/月)最高价
low_hfq	float	Y	后复权(周/月)最低价
close_hfq	float	Y	后复权(周/月)收盘价
vol	float	Y	(周/月)成交量
amount	float	Y	(周/月)成交额
change	float	Y	(周/月)涨跌额
pct_chg	float	Y	(周/月)涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】
